zip,percent_pop_0_17,percent_pop_70_80,median_hh_income,pop_bucket
11219,0.353,0.033,37665,high_under_18
11220,0.24,0.038,42559,high_under_18
11221,0.216,0.039,47170,high_under_18
11225,0.192,0.053,51926,high_under_18
11226,0.234,0.045,48495,high_under_18
11231,0.226,0.046,93575,high_under_18
11232,0.217,0.032,53908,high_under_18
11233,0.248,0.049,36009,high_under_18
11236,0.218,0.052,63700,high_under_18
11237,0.213,0.03,51269,high_under_18
11354,0.154,0.071,44512,high_70_80
11365,0.2,0.05,63455,high_under_18
11368,0.268,0.038,47862,high_under_18
11370,0.164,0.044,59901,high_under_18
11373,0.191,0.054,49098,high_under_18
11374,0.153,0.09,56863,high_70_80
11385,0.22,0.039,64481,high_under_18
11416,0.235,0.044,61285,high_under_18
11417,0.219,0.039,69989,high_under_18
11418,0.243,0.038,67003,high_under_18
11419,0.204,0.043,65711,high_under_18
11421,0.216,0.051,69053,high_under_18
11433,0.245,0.054,48795,high_under_18
11435,0.21,0.044,59535,high_under_18
11436,0.227,0.045,69259,high_under_18
11516,0.313,0.044,98696,high_under_18
11518,0.211,0.041,92682,high_under_18
11547,0.26,0.019,96250,high_under_18
11550,0.267,0.047,59580,high_under_18
11552,0.238,0.054,108628,high_under_18
11556,0,0.143,0,high_70_80
11561,0.156,0.068,89050,high_70_80
11563,0.213,0.049,91042,high_under_18
11568,0.178,0.051,175833,high_under_18
11575,0.216,0.053,79232,high_under_18
11579,0.214,0.036,115822,high_under_18
11580,0.22,0.047,103475,high_under_18
11598,0.333,0.054,140573,high_under_18
11691,0.304,0.052,42434,high_under_18
11692,0.286,0.043,45816,high_under_18
11717,0.264,0.04,74202,high_under_18
11720,0.221,0.054,97682,high_under_18
11722,0.245,0.04,68588,high_under_18
11724,0.265,0.04,207656,high_under_18
11738,0.226,0.051,97583,high_under_18
11746,0.248,0.052,107221,high_under_18
11751,0.206,0.052,95975,high_under_18
11753,0.238,0.053,166272,high_under_18
11778,0.249,0.05,93677,high_under_18
11784,0.218,0.05,87379,high_under_18
11786,0.282,0.038,126625,high_under_18
11792,0.22,0.048,125000,high_under_18
11933,0.117,0.126,57933,high_70_80
11952,0.159,0.102,81380,high_70_80
11980,0.178,0.045,96574,high_under_18
12017,0.128,0.078,75809,high_70_80
12022,0.112,0.12,50833,high_70_80
12040,0.174,0,40809,high_under_18
12042,0,0.138,44583,high_70_80
12045,0,0.075,51389,high_70_80
12053,0.251,0.042,85721,high_under_18
12058,0.296,0.047,82768,high_under_18
12061,0.205,0.051,82378,high_under_18
12075,0.157,0.094,61922,high_70_80
12084,0.236,0.048,64868,high_under_18
12085,0.27,0.029,43710,high_under_18
12087,0.192,0.033,73720,high_under_18
12094,0.335,0.051,81850,high_under_18
12115,0,0.458,85682,high_70_80
12123,0.213,0.049,82478,high_under_18
12136,0.149,0.126,102829,high_70_80
12137,0.154,0.061,64213,high_70_80
12150,0.157,0.06,66944,high_70_80
12151,0.133,0.084,83681,high_70_80
12153,0.188,0.01,78942,high_under_18
12156,0.342,0.03,68393,high_under_18
12158,0.222,0.052,85458,high_under_18
12165,0.138,0.155,0,high_70_80
12170,0.232,0.051,66231,high_under_18
12174,0.319,0.038,0,high_under_18
12180,0.174,0.045,50669,high_under_18
12185,0.226,0.041,78472,high_under_18
12195,0,0.404,19359,high_70_80
12196,0.245,0.051,91699,high_under_18
12202,0.227,0.048,28857,high_under_18
12204,0.215,0.04,50721,high_under_18
12206,0.291,0.046,31812,high_under_18
12207,0.139,0.073,12396,high_70_80
12208,0.156,0.058,60430,high_70_80
12303,0.237,0.054,61916,high_under_18
12304,0.218,0.04,48750,high_under_18
12305,0.062,0.056,30625,high_70_80
12307,0.317,0.048,22394,high_under_18
12308,0.194,0.042,48337,high_under_18
12404,0.155,0.073,60625,high_70_80
12405,0.079,0.091,48750,high_70_80
12409,0.141,0.126,88906,high_70_80
12412,0.106,0.062,65676,high_70_80
12413,0.149,0.083,38333,high_70_80
12419,0.134,0.059,51563,high_70_80
12433,0.155,0.108,138134,high_70_80
12440,0.135,0.073,59250,high_70_80
12443,0.138,0.089,85781,high_70_80
12448,0.08,0.145,109531,high_70_80
12449,0.159,0.093,44500,high_70_80
12453,0.196,0,35755,high_under_18
12457,0.09,0.155,34583,high_70_80
12458,0.128,0.072,52798,high_70_80
12460,0.179,0.043,25809,high_under_18
12466,0.127,0.115,68893,high_70_80
12472,0.111,0.133,54318,high_70_80
12475,0.285,0.045,0,high_under_18
12481,0.146,0.069,56053,high_70_80
12482,0.107,0.322,41220,high_70_80
12483,0.056,0.184,0,high_70_80
12484,0.131,0.077,60517,high_70_80
12487,0.184,0.054,64699,high_under_18
12501,0.232,0.036,64250,high_under_18
12503,0.111,0.092,65104,high_70_80
12507,0.112,0.12,73250,high_70_80
12508,0.184,0.051,73396,high_under_18
12515,0.106,0.11,55976,high_70_80
12523,0.126,0.076,75263,high_70_80
12525,0.285,0.052,75167,high_under_18
12528,0.207,0.054,71857,high_under_18
12540,0.24,0.046,109444,high_under_18
12547,0.215,0.032,78963,high_under_18
12548,0.131,0.11,55703,high_70_80
12550,0.272,0.049,58534,high_under_18
12553,0.225,0.054,73836,high_under_18
12565,0.25,0.044,39891,high_under_18
12566,0.258,0.045,76148,high_under_18
12569,0.21,0.053,80050,high_under_18
12572,0.147,0.112,79628,high_70_80
12574,0.528,0,0,high_under_18
12575,0.185,0.051,101912,high_under_18
12578,0.148,0.063,102639,high_70_80
12580,0.156,0.064,75750,high_70_80
12581,0.159,0.075,76750,high_70_80
12585,0.263,0.037,110114,high_under_18
12589,0.161,0.042,83143,high_under_18
12594,0.221,0.04,62953,high_under_18
12601,0.197,0.052,43802,high_under_18
12721,0.258,0.044,64801,high_under_18
12722,0,0.238,73250,high_70_80
12781,0.275,0,0,high_under_18
13028,0.214,0.036,57500,high_under_18
13029,0.233,0.043,70443,high_under_18
13041,0.254,0.048,83774,high_under_18
13051,0.355,0,0,high_under_18
13061,0.147,0.093,68889,high_70_80
13063,0.199,0.033,82500,high_under_18
13069,0.242,0.054,46300,high_under_18
13072,0.087,0.092,53000,high_70_80
13076,0.178,0.047,54855,high_under_18
13087,0.072,0.125,147907,high_70_80
13103,0.238,0,67632,high_under_18
13111,0.24,0.054,46685,high_under_18
13113,0.348,0.018,71094,high_under_18
13114,0.263,0.048,59590,high_under_18
13115,0.12,0.057,50909,high_70_80
